timestamp_ms,real_x,real_y,pred_x,pred_y
16267918,6.3125,8.125,6.3125,8.125
16267958,6.25,7.9375,6.3125,8.125
16267998,6.8125,7.8125,6.2,7.7875
16268038,6.8125,8,7.23438,7.71875
16268078,6.875,8,6.8125,8.14062
16268119,6.875,8,6.92188,8
16268159,6.875,8,6.875,8
16268201,6.875,8.0625,6.875,8
16268241,6.875,8,6.875,8.10823
16268281,6.5,7.5625,6.875,7.95312
16268321,6.875,7.625,6.3125,7.34375
16268361,6.875,7.625,7.15625,7.67188
16268401,6.9375,7.625,6.875,7.625
16268442,6.875,7.6875,6.98438,7.625
16268482,6.625,7.5,6.82812,7.73438
16268522,6.5,7.5,6.4375,7.35938
16268562,6.5625,7.4375,6.40625,7.5
16268602,6.5625,7.4375,6.60938,7.39062
16268642,6.75,7.875,6.5625,7.4375
16268682,7.1875,7.4375,6.89062,8.20312
16268722,7.1875,7.4375,7.51562,7.10938
16268762,8.1875,6.8125,7.1875,7.4375
16268803,10.6875,6.3125,8.6875,6.5
16268843,12.1875,5.875,12.625,5.925
16268883,15.3125,5.3125,13.3125,5.54688
16268924,17,5.3125,17.6562,4.89062
16268965,17,5.3125,18.2348,5.3125
16269005,20.8125,6.0625,17,5.3125
16269045,20.8125,6.0625,23.6719,6.625
16269085,25.375,6.1875,20.8125,6.0625
16269125,29.875,6.1875,28.7969,6.28125
16269166,29.875,6.1875,33.25,6.1875
16269206,31.3125,6.1875,29.875,6.1875
16269246,31.3125,6.1875,32.4266,6.1875
16269286,36.0625,6.25,31.3125,6.1875
16269326,38.1875,6.1875,39.625,6.29688
16269366,40.625,6.3125,39.7812,6.14062
16269406,43.4375,6.4375,42.4531,6.40625
16269447,50.25,6,45.5469,6.53125
16269487,56.625,6.5625,55.3594,5.67188
16269527,56.625,6.5625,61.4062,6.98438
16269567,60.8125,6.1875,56.625,6.5625
16269608,65.5,6,64.4766,5.85938
16269648,69.9375,5.8125,69.0156,5.85938
16269690,77.75,6.125,73.2656,5.67188
16269730,82.6875,6.3125,83.657,6.36128
16269770,92.625,6.3125,86.3906,6.45312
16269810,95.375,6.25,97.5938,6.3125
16269851,95.375,6.25,97.5062,6.20156
16269891,104.375,4.875,95.375,6.25
16269931,106.5,6.8125,111.125,3.84375
16269973,106.438,10.625,108.2,8.3625
16270013,106.375,14.25,106.393,13.3482
16270053,108.625,22.125,106.328,16.9688
16270094,108.938,28.5,110.312,28.0312
16270134,108.938,28.5,109.172,33.2812
16270174,108.562,57.375,108.938,28.5
16270214,106.688,71.875,108.281,79.0312
16270254,108.562,88.6875,105.234,83.1125
16270294,104.938,103.625,109.969,101.297
16270334,97.3125,104.188,102.037,115.575
16270374,85.375,104.25,93.1187,104.497
16270417,64.375,104.062,76.4219,104.297
16270457,55,103.938,49.375,103.929
16270499,45.1875,104.188,47.9688,103.844
16270539,25.4375,103.875,37.7683,104.377
16270579,25.4375,103.875,10.625,103.641
16270619,8.8125,103.938,25.4375,103.875
16270660,7.5,99.875,-3.65625,103.984
16270703,5.9375,89.3125,6.53963,96.9024
16270743,5.9375,89.3125,4.78423,81.5164
16270783,7.625,82.125,5.9375,89.3125
16270823,7.625,82.125,8.89062,76.7344
16270863,9.6875,81.8125,7.625,82.125
16270903,13.625,83.0625,11.2344,81.5781
16270943,14.5,83.125,16.775,84.0625
16270983,14.5,83.125,15.1562,83.1719
16271024,18.75,77.875,14.5,83.125
16271064,18.75,77.875,22.15,73.675
16271104,23.5,62.625,18.75,77.875
16271145,26.4375,42.8125,27.1812,50.8063
16271185,26.4375,42.8125,28.6406,27.9531
16271225,34.1875,21.0625,26.4375,42.8125
16271265,36.9375,10.125,40,4.75
16271305,39.5,5.8125,39,1.92188
16271345,43.5,7.25,40.7812,3.65625
16271385,46,7,46.5,8.32812
16271425,49.3125,7.125,47.875,6.8125
16271466,58.4375,9.5,51.7969,7.21875
16271506,58.4375,9.5,65.2812,11.2812
16271546,71.1875,10.625,58.4375,9.5
16271586,71.1875,10.625,80.75,11.4688
16271626,76.3125,10.8125,71.1875,10.625
16271667,85.5625,8.875,80.4125,10.9625
16271707,85.5625,8.875,92.7312,7.37344
16271747,98.8125,7.4375,85.5625,8.875
16271787,104.188,6.25,105.438,6.71875
16271827,107.812,5.5,108.219,5.35938
16271869,107.875,9.25,110.531,4.9375
16271909,106.938,14.125,107.924,12.1768
16271949,107.5,17.4375,106.234,17.7812
16271989,107.75,22.3125,107.936,20.0047
16272029,107.625,24.25,107.938,25.9688
16272069,108.188,27,107.55,25.4125
16272112,107.875,31.0625,108.623,29.1313
16272152,108.5,46.1875,107.629,34.2545
16272192,108.5,46.1875,108.969,57.5312
16272233,108.188,60.25,108.5,46.1875
16272274,108.25,99.4375,107.959,70.5396
16272315,88.25,104.062,108.297,128.828
16272355,67.5625,103.188,73.6158,107.447
16272395,67.5625,103.188,52.0469,102.531
16272436,47.0625,102.312,67.5625,103.188
16272476,37.3125,102.25,31.175,101.634
16272517,19.125,103.438,30,102.203
16272557,19.125,103.438,5.48438,104.328
16272597,11.6875,103.562,19.125,103.438
16272637,6.875,97.625,7.96875,103.625
16272677,6.875,97.625,3.26562,93.1719
16272717,7.125,89.875,6.875,97.625
16272757,7.6875,89.4375,7.3125,84.0625
16272797,7.375,92.6875,8.10938,89.1094
16272838,8.1875,94,7.14062,95.125
16272878,9.5625,93.8125,8.79688,94.9844
16272919,11.4375,89.875,10.6281,93.6672
16272959,13.125,83.1875,12.8438,86.9219
16272999,15.8125,65.5625,14.3906,78.1719
16273039,20.5,55.25,17.8281,52.3438
16273079,25.25,45.1875,24.1328,47.2578
16273119,31.75,27.1875,28.8125,37.6406
16273161,35.8125,21.6875,36.625,13.6875
16273201,41.375,16.25,38.7851,17.6631
16273241,46.375,11.8125,45.5469,12.1719
16273281,52.375,7.625,50.375,8.2625
16273321,63.5625,6.4375,55.375,5.53125
16273361,69.3125,6.3125,71.9531,5.54688
16273401,76.625,6.5625,73.625,6.21875
16273442,82.0625,5.9375,82.1094,6.75
16273482,99.25,6.0625,86.1406,5.46875
16273522,106,6.375,112.57,6.15938
16273562,109.125,10.25,111.062,6.60938
16273602,106.438,9,111.469,13.1562
16273642,107.688,18.625,104.355,8.03125
16273683,107.688,25,108.625,25.8438
16273723,108.188,39.5625,107.688,28.6656
16273763,109.625,49.4375,108.562,50.4844
16273803,107.812,52.1875,110.703,56.8438
16273843,108.312,64.625,106.453,54.25
16273883,107.625,75,108.713,74.575
16273923,107.875,95.625,107.109,82.7812
16273963,103.562,103.812,108.062,111.094
16274004,84.25,103.5,100.22,110.158
16274045,84.25,103.5,69.7656,103.266
16274085,68.3125,104.125,84.25,103.5
16274127,59.6875,104,56.3594,104.594
16274167,59.6875,104,53.3765,103.909
16274207,44.0625,103.938,59.6875,104
16274248,37.25,103.688,32.3438,103.891
16274288,31.0625,103.625,32.1406,103.5
16274328,18,103.75,26.4219,103.578
16274368,12.3125,104,10.4891,103.822
16274411,7.9375,103.438,8.04688,104.188
16274451,7.875,101.25,4.8125,103.036
16274491,7.25,98.9375,7.82812,99.6094
16274531,6.875,96.375,6.76562,97.1453
16274571,7,97.3125,6.575,94.325
16274611,7.125,98.6875,7.09375,98.0156
16274654,7.125,100,7.21875,99.7188
16274694,7,97.625,7.125,100.977
16274735,6.375,91.6875,6.90625,95.8438
16274775,6.375,88,5.90625,87.2344
16274815,4.1875,77,6.375,85.2344
16274855,6.125,68.375,2.98438,70.95
16274895,7,59,7.57812,61.9062
16274938,5.1875,41.25,7.65625,51.9688
16274978,5.1875,41.25,3.92297,28.8663
16275018,6.0625,28.0625,5.1875,41.25
16275059,8.5,22.25,6.71875,18.1719
16275099,8.25,9.9375,10.5109,17.4547
16275139,9.1875,6.25,8.0625,0.703125
16275179,13.875,7.1875,9.9375,3.3
16275219,14.4375,7,16.2188,7.65625
16275259,18.5625,6,14.8594,6.85938
16275299,18.5625,6,21.6562,5.25
16275339,19.5625,6.3125,18.5625,6
16275380,18.8125,6.375,20.3125,6.54688
16275420,17.625,6.5625,18.25,6.42188
16275460,16.375,6.5625,16.7344,6.70312
16275500,10.3125,6.5625,15.4375,6.5625
16275540,6.875,6.6875,5.76562,6.5625
16275583,7.125,7.5,4.29688,6.78125
16275623,6.9375,8.25,7.30357,8.08036
16275663,6.9375,8.5625,6.79688,8.8125
16275703,6.9375,8.3125,6.9375,8.79688
16275743,6.9375,8.3125,6.9375,8.11875
16275783,7,7.5625,6.9375,8.3125
16275824,7.125,7.3125,7.04688,7
16275864,7.375,7.1875,7.21875,7.125
16275904,7.375,7.1875,7.5625,7.09375
16275944,7.6875,7.0625,7.375,7.1875
16275984,7.75,6.9375,7.9375,6.9625
16276024,7.8125,7,7.79688,6.84375
16276064,8.0625,6.8125,7.85,7.0375
16276107,8.0625,6.8125,8.25625,6.66719
16276147,8.4375,6.875,8.0625,6.8125
16276187,9.875,6,8.625,6.90625
16276227,9.875,6,10.9531,5.34375
16276267,11,6.125,9.875,6
16276307,14.3125,6.3125,11.8438,6.21875
16276347,14.3125,6.3125,16.7969,6.45312
16276387,20.125,6.4375,14.3125,6.3125
16276427,21.5625,6.4375,24.4844,6.53125
16276468,21.5625,6.4375,22.6406,6.4375
16276508,27.0625,6.3125,21.5625,6.4375
16276548,30.625,6.3125,31.1875,6.21875
16276588,32.75,6.25,33.2969,6.3125
16276628,34.75,6.125,34.3969,6.20156
16276668,35.6875,5.5625,36.25,6.03125
16276708,39.3125,5.4375,36.1797,5.26719
16276749,41.0625,5.6875,42.0312,5.34375
16276789,46.875,6.1875,42.4188,5.88125
16276829,50.75,6.25,51.2344,6.5625
16276869,58,6.6875,53.6562,6.29688
16276909,63.125,6.5,63.4375,7.01562
16276950,67.5625,6.375,66.9688,6.35938
16276990,67.5625,6.375,70.8906,6.28125
16277030,79.5,6.125,67.5625,6.375
16277070,84.375,4.8125,88.4531,5.9375
16277110,89.1875,5.4375,88.0312,3.82812
16277150,93.625,6.125,92.7969,5.90625
16277191,105.625,5.9375,95.8438,6.46875
16277231,105.625,5.9375,114.625,5.79688
16277271,107.688,10.375,105.625,5.9375
16277311,106.25,13.9375,109.234,13.7031
